name,salary,mlbid
Gerrit Cole,"$36,000,000",543037
Jacob deGrom,"$36,000,000",594798
Stephen Strasburg,"$35,000,000",544931
Zack Greinke,"$35,000,000",425844
Max Scherzer,"$34,503,480",453286
Justin Verlander,"$33,000,000",434378
David Price,"$32,000,000",456034
Trevor Bauer,"$31,333,333",545333
Clayton Kershaw,"$31,000,000",477132
Chris Sale,"$30,000,000",519242
Patrick Corbin,"$24,416,666",571578
Zack Wheeler,"$22,500,000",554430
Yu Darvish,"$22,000,000",506433
Johnny Cueto,"$21,000,000",456501
Hyun-Jin Ryu,"$20,000,000",547943
Kenley Jansen,"$20,000,000",445276
Madison Bumgarner,"$19,000,000",518516
Kevin Gausman,"$18,900,000",592332
Marcus Stroman,"$18,900,000",573186
Dallas Keuchel,"$18,000,000",572971
Aroldis Chapman,"$17,200,000",547973
Nathan Eovaldi,"$17,000,000",543135
Miles Mikolas,"$16,750,000",571945
Yusei Kikuchi,"$16,500,000",579328
Craig Kimbrel,"$16,000,000",518886
Danny Duffy,"$15,500,000",518633
Charlie Morton,"$15,000,000",450203
Alex Cobb,"$15,000,000",502171
Kyle Hendricks,"$14,000,000",543294
Will Smith,"$13,000,000",669257
Zack Britton,"$13,000,000",502154
Aaron Nola,"$12,250,000",605400
Andrew Miller,"$12,000,000",453192
Carlos Carrasco,"$12,000,000",471911
Carlos Martinez,"$11,700,000",593372
Jeurys Familia,"$11,666,668",544727
Liam Hendriks,"$11,333,333",521230
Blake Snell,"$11,100,000",605483
Drew Smyly,"$11,000,000",592767
Corey Kluber,"$11,000,000",446372
Trevor Rosenthal,"$11,000,000",572096
Luis Severino,"$10,750,000",622663
Brad Hand,"$10,500,000",543272
Sonny Gray,"$10,166,666",543243
Michael Pineda,"$10,000,000",501381
Kyle Gibson,"$10,000,000",502043
Taijuan Walker,"$10,000,000",592836
Noah Syndergaard,"$9,700,000",592789
Lance Lynn,"$9,333,334",458681
Raisel Iglesias,"$9,125,000",628452
Jake Odorizzi,"$9,000,000",543606
Ryan Pressly,"$8,750,000",519151
Zach Davies,"$8,630,000",605200
Joe Kelly,"$8,500,000",523260
James Paxton,"$8,500,000",572020
Garrett Richards,"$8,500,000",572070
Dylan Bundy,"$8,325,000",605164
Eduardo Rodriguez,"$8,300,000",593958
Blake Treinen,"$8,000,000",595014
Robbie Ray,"$8,000,000",592662
Drew Pomeranz,"$8,000,000",519141
J.A. Happ,"$8,000,000",457918
Jose Quintana,"$8,000,000",500779
Jordan Lyles,"$8,000,000",543475
Will Harris,"$8,000,000",501789
Adam Wainwright,"$8,000,000",425794
Wade Miley,"$8,000,000",489119
German Marquez,"$7,800,000",608566
Felipe Vazquez,"$7,750,000",553878
Trevor May,"$7,750,000",543507
Adam Ottavino,"$7,225,044",493603
Lance McCullers,"$7,083,333",621121
Mike Minor,"$7,000,000",501985
Chris Martin,"$7,000,000",455119
Edwin Diaz,"$7,000,000",621242
Andrew Heaney,"$6,750,000",571760
Josh Hader,"$6,675,000",623352
Chris Archer,"$6,500,000",502042
Matt Boyd,"$6,500,000",571510
Jose Berrios,"$6,100,000",621244
Archie Bradley,"$6,000,000",605151
Taylor Rogers,"$6,000,000",573124
Daniel Hudson,"$6,000,000",543339
Anthony DeSclafani,"$6,000,000",543101
Jon Gray,"$6,000,000",592351
Dellin Betances,"$6,000,000",476454
Sean Manaea,"$5,950,000",640455
Kirby Yates,"$5,500,000",489446
Corey Knebel,"$5,250,000",608349
Marco Gonzales,"$5,250,000",594835
Steven Matz,"$5,200,000",571927
Kyle Freeland,"$5,025,000",607536
Hector Neris,"$5,000,000",593576
Alex Colome,"$5,000,000",517008
Chris Bassitt,"$4,900,000",605135
Pedro Baez,"$4,750,000",520980
Matt Barnes,"$4,500,000",598264
Martin Perez,"$4,500,000",527048
Jose Leclerc,"$4,500,000",600917
Joe Musgrove,"$4,450,000",605397
Zach Eflin,"$4,450,000",621107
Michael Lorenzen,"$4,437,500",547179
Merrill Kelly,"$4,250,000",518876
Dinelson Lamet,"$4,200,000",659275
Luis Castillo,"$4,200,000",622491
Lucas Giolito,"$4,150,000",608337
Mychal Givens,"$4,050,000",571710
Jake Arrieta,"$4,000,000",453562
Tyler Glasnow,"$4,000,000",607192
Craig Stammen,"$4,000,000",489334
Chase Anderson,"$4,000,000",502624
Vincent Velasquez,"$4,000,000",592826
Aaron Sanchez,"$4,000,000",592717
Joe Smith,"$4,000,000",501925
Kwang-hyun Kim,"$4,000,000",547942
Scott Oberg,"$4,000,000",623184
Jake Diekman,"$4,000,000",518617
Jack Flaherty,"$3,900,000",656427
Walker Buehler,"$3,750,000",621111
Julio Urias,"$3,600,000",628711
Mike Clevinger,"$3,500,000",605182
Max Fried,"$3,500,000",608331
