pitcher_team,n,pitcher_team_name
ARI,63816,Diamondbacks
ATL,64165,Braves
BAL,64577,Orioles
BOS,65945,Red Sox
CHC,64576,Cubs
CIN,63092,Reds
CLE,61300,Indians
COL,64232,Rockies
CWS,64233,White Sox
DET,64953,Tigers
HOU,63076,Astros
KC,64721,Royals
LAA,63247,Angels
LAD,61151,Dodgers
MIA,63870,Marlins
MIL,64506,Brewers
MIN,63405,Twins
NYM,63580,Mets
NYY,63210,Yankees
OAK,62915,Athletics
PHI,62962,Phillies
PIT,64027,Pirates
SD,62741,Padres
SEA,62584,Mariners
SF,63789,Giants
STL,64010,Cardinals
TB,62424,Rays
TEX,65099,Rangers
TOR,64578,Blue Jays
WSH,62884,Nationals
