year,game_date,pitch_outcomes,n,percent
2021,2021-04-01,ball,296,31.322751322751323
2021,2021-04-01,first base,56,5.9259259259259265
2021,2021-04-01,out,138,14.603174603174605
2021,2021-04-01,strike,275,29.100529100529098
2021,2021-04-02,ball,154,32.6271186440678
2021,2021-04-02,first base,32,6.779661016949152
2021,2021-04-02,out,69,14.61864406779661
2021,2021-04-02,strike,134,28.389830508474578
2021,2021-04-03,ball,295,31.483457844183565
2021,2021-04-03,first base,51,5.44290288153682
2021,2021-04-03,out,147,15.688367129135539
2021,2021-04-03,strike,246,26.254002134471715
2021,2021-04-04,ball,246,30.22113022113022
2021,2021-04-04,first base,35,4.2997542997543
2021,2021-04-04,out,155,19.04176904176904
2021,2021-04-04,strike,239,29.361179361179364
2021,2021-04-05,ball,286,32.5
2021,2021-04-05,first base,46,5.227272727272727
2021,2021-04-05,out,160,18.181818181818183
2021,2021-04-05,strike,224,25.454545454545453
2021,2021-04-06,ball,328,32.89869608826479
2021,2021-04-06,first base,48,4.814443329989969
2021,2021-04-06,out,172,17.251755265797392
2021,2021-04-06,strike,236,23.67101303911735
2021,2021-04-07,ball,277,29.374337221633084
2021,2021-04-07,first base,56,5.938494167550371
2021,2021-04-07,out,159,16.861081654294804
2021,2021-04-07,strike,260,27.571580063626723
2021,2021-04-08,ball,181,29.575163398692812
2021,2021-04-08,first base,28,4.57516339869281
2021,2021-04-08,out,109,17.81045751633987
2021,2021-04-08,strike,156,25.49019607843137
2021,2021-04-09,ball,188,31.918505942275043
2021,2021-04-09,first base,26,4.4142614601018675
2021,2021-04-09,out,107,18.166383701188455
2021,2021-04-09,strike,157,26.6553480475382
2021,2021-04-10,ball,344,34.4
2021,2021-04-10,first base,54,5.4
2021,2021-04-10,out,155,15.5
2021,2021-04-10,strike,271,27.1
2021,2021-04-11,ball,337,39.049826187717265
2021,2021-04-11,first base,39,4.5191193511008105
2021,2021-04-11,out,117,13.557358053302435
2021,2021-04-11,strike,237,27.46234067207416
2021,2021-04-12,ball,260,35.13513513513514
2021,2021-04-12,first base,34,4.594594594594595
2021,2021-04-12,out,111,15
2021,2021-04-12,strike,203,27.432432432432428
2021,2021-04-13,ball,407,35.207612456747405
2021,2021-04-13,first base,66,5.709342560553633
2021,2021-04-13,out,160,13.84083044982699
2021,2021-04-13,strike,325,28.11418685121107
2021,2021-04-14,ball,276,30.09814612868048
2021,2021-04-14,first base,59,6.4340239912759
2021,2021-04-14,out,166,18.102508178844058
2021,2021-04-14,strike,234,25.517993456924753
2021,2021-04-15,ball,255,33.116883116883116
2021,2021-04-15,first base,35,4.545454545454546
2021,2021-04-15,out,131,17.01298701298701
2021,2021-04-15,strike,172,22.337662337662337
2021,2021-04-16,ball,270,32.76699029126214
2021,2021-04-16,first base,53,6.432038834951456
2021,2021-04-16,out,149,18.08252427184466
2021,2021-04-16,strike,204,24.75728155339806
2021,2021-04-17,ball,334,31.069767441860463
2021,2021-04-17,first base,66,6.1395348837209305
2021,2021-04-17,out,174,16.186046511627907
2021,2021-04-17,strike,277,25.76744186046512
2021,2021-04-18,ball,293,30.616509926854757
