year,game_date,pitch_outcomes,n,percent
2021,2021-04-01,ball,161,30.037313432835823
2021,2021-04-01,first base,21,3.9179104477611943
2021,2021-04-01,out,67,12.5
2021,2021-04-01,strike,157,29.291044776119403
2021,2021-04-02,ball,93,34.19117647058824
2021,2021-04-02,first base,13,4.779411764705882
2021,2021-04-02,out,32,11.76470588235294
2021,2021-04-02,strike,75,27.573529411764707
2021,2021-04-03,ball,163,33.74741200828157
2021,2021-04-03,first base,23,4.761904761904762
2021,2021-04-03,out,63,13.043478260869565
2021,2021-04-03,strike,123,25.465838509316768
2021,2021-04-04,ball,160,31.372549019607842
2021,2021-04-04,first base,22,4.313725490196078
2021,2021-04-04,out,81,15.88235294117647
2021,2021-04-04,strike,133,26.078431372549023
2021,2021-04-05,ball,160,33.755274261603375
2021,2021-04-05,first base,21,4.430379746835443
2021,2021-04-05,out,68,14.345991561181433
2021,2021-04-05,strike,123,25.949367088607595
2021,2021-04-06,ball,188,33.691756272401435
2021,2021-04-06,first base,20,3.584229390681003
2021,2021-04-06,out,72,12.903225806451612
2021,2021-04-06,strike,149,26.70250896057348
2021,2021-04-07,ball,162,31.76470588235294
2021,2021-04-07,first base,24,4.705882352941177
2021,2021-04-07,out,63,12.352941176470589
2021,2021-04-07,strike,140,27.450980392156865
2021,2021-04-08,ball,100,30.3951367781155
2021,2021-04-08,first base,12,3.64741641337386
2021,2021-04-08,out,45,13.677811550151976
2021,2021-04-08,strike,77,23.404255319148938
2021,2021-04-09,ball,100,29.673590504451035
2021,2021-04-09,first base,8,2.3738872403560833
2021,2021-04-09,out,48,14.243323442136498
2021,2021-04-09,strike,102,30.267062314540063
2021,2021-04-10,ball,194,32.172470978441126
2021,2021-04-10,first base,29,4.809286898839138
2021,2021-04-10,out,69,11.442786069651742
2021,2021-04-10,strike,184,30.514096185737976
2021,2021-04-11,ball,235,40.94076655052265
2021,2021-04-11,first base,27,4.70383275261324
2021,2021-04-11,out,51,8.885017421602788
2021,2021-04-11,strike,154,26.82926829268293
2021,2021-04-12,ball,144,34.53237410071942
2021,2021-04-12,first base,23,5.515587529976019
2021,2021-04-12,out,49,11.750599520383693
2021,2021-04-12,strike,123,29.496402877697843
