pitcher_team,pitcher_mlbid,pitcher_name,before,after,percent_change,fastballs_total,fastballs_after
MIN,553902,Willians Astudillo,24.46226175,11.58043098,-52.7,22,10
MIL,502202,Brad Boxberger,26.55055593,23.21459152,-12.6,218,41
MIN,641927,Bailey Ober,25.98018355,23.0685881,-11.2,133,63
PHI,656322,Sam Coonrod,24.44875535,21.88234277,-10.5,46,5
CLE,675916,James Karinchak,25.53119208,22.92336825,-10.2,322,21
PIT,607572,Sam Howard,26.52233108,23.83562783,-10.1,224,37
CLE,680704,Nick Sandlin,26.27178757,23.75860738,-9.6,45,12
SF,670056,Caleb Baragar,25.92344589,23.51545919,-9.3,244,8
NYY,593974,Wandy Peralta,23.86828478,21.6644433,-9.2,38,7
SD,622503,Nabil Crismatt,24.99708797,22.73112569,-9.1,42,5
ATL,656353,Tucker Davidson,23.39951028,21.28350806,-9,116,89
CWS,621114,Ryan Burr,22.2741409,20.28952201,-8.9,35,20
DET,656638,Alex Lange,25.45750994,23.18926228,-8.9,146,34
MIA,669622,Anthony Bender,26.64447896,24.38216891,-8.5,12,3
HOU,543606,Jake Odorizzi,24.7207472,22.64569022,-8.4,110,45
LAA,448855,Junior Guerra,26.46975866,24.3150075,-8.1,125,4
PHI,675921,Spencer Howard,24.11931593,22.18273919,-8,224,32
OAK,621076,James Kaprielian,23.34822852,21.6278285,-7.4,311,100
LAD,545333,Trevor Bauer,30.12295512,27.95180653,-7.2,551,73
DET,605612,Harold Castro,27.30698057,25.37238223,-7.1,16,9
MIL,670950,Trevor Richards,23.00240506,21.36783065,-7.1,84,33
ARI,573009,Joe Mantiply,25.74053081,23.99723239,-6.8,29,5
SF,501625,Jose Alvarez,25.77133325,24.01191208,-6.8,88,4
NYY,656793,Nick Nelson,22.25030394,20.77826702,-6.6,139,21
PHI,571735,David Hale,23.97157516,22.40638573,-6.5,196,1
PHI,641401,Connor Brogdon,23.88748605,22.33054601,-6.5,186,15
TEX,622250,Josh Sborz,25.16315098,23.5580039,-6.4,266,41
TEX,605138,Wes Benjamin,26.37292575,24.76120838,-6.1,113,17
WSH,543272,Brad Hand,26.30539078,24.69315811,-6.1,192,25
MIA,666129,Braxton Garrett,25.20276688,23.70317874,-6,45,29
CIN,605521,Art Warren,24.36363888,22.92737372,-5.9,31,17
TOR,621593,Anthony Castro,26.73482544,25.20812282,-5.7,120,48
MIA,643256,Adam Cimber,25.58831267,24.1600787,-5.6,166,22
PHI,605151,Archie Bradley,23.57605566,22.25736345,-5.6,105,26
SF,643511,Tyler Rogers,23.03186029,21.75252815,-5.6,24,2
PIT,640444,Wil Crowe,26.37962284,24.94088321,-5.5,270,33
BAL,669135,Mac Sceroler,28.15307522,26.63640177,-5.4,69,24
CHC,667297,Tommy Nance,24.70551718,23.38276585,-5.4,42,11
CIN,608371,Lucas Sims,28.15077794,26.62696842,-5.4,192,34
PIT,542881,Tyler Anderson,26.77041666,25.35405356,-5.3,418,62
