pitcher_name_first,pitcher_name_last,pitcher_mlbid,game_date,pi_pitch_type,mph,rpm,pitch_result,pitch_outcome,rel_x,rel_y,rel_z,plate_x,plate_z,at_bat_index,pitch_of_ab,inning,half_inning,runs_home_before,runs_away_before,pitchid,year
Ricky,Nolasco,445060,2017-04-03,CS,72.529785,2477,B,B,-0.99223274,55.26,6.1213846,0.8017927,0.38424185,34,3,5,bottom,1,2,2385,2017
Ricky,Nolasco,445060,2017-04-03,CS,72.529785,2477,B,B,-0.99223274,55.26,6.1213846,0.8017927,0.38424185,34,3,5,bottom,1,2,2388,2017
Ricky,Nolasco,445060,2017-04-03,CS,73.04986,2582,S,S,-1.0195309,55.79,6.1570177,0.2639987,1.5632892,44,3,6,bottom,2,2,2789,2017
Ricky,Nolasco,445060,2017-04-03,CS,73.04986,2582,S,S,-1.0195309,55.79,6.1570177,0.2639987,1.5632892,44,3,6,bottom,2,2,2793,2017
James,Shields,448306,2017-04-06,CS,70.02341,2482,S,S,-1.9840178,54.48,6.210876,1.0825664,1.5847965,4,4,1,top,0,0,10386,2017
Ricky,Nolasco,445060,2017-04-08,CS,73.44903,2523,LD,OUT,-1.2575053,55.39,6.1562247,-0.8390714,1.7999114,4,3,1,top,0,2,18454,2017
James,Shields,448306,2017-04-11,CS,70.47542,2671,B,B,-1.9539981,54.44,6.3460655,2.4529757,-0.4877349,6,4,1,bottom,1,0,29820,2017
James,Shields,448306,2017-04-11,CS,69.42799,2335,F,F,-2.1683867,54.67,6.3030233,-1.150977,2.2363248,14,5,2,bottom,1,0,30198,2017
James,Shields,448306,2017-04-11,CS,69.42799,2335,F,F,-2.1683867,54.67,6.3030233,-1.150977,2.2363248,14,5,2,bottom,1,0,30203,2017
Ricky,Nolasco,445060,2017-04-13,CS,74.015816,2647,F,F,-0.9702309,55.58,6.166114,0.37477624,2.3477552,3,4,1,top,0,1,37427,2017
Ricky,Nolasco,445060,2017-04-13,CS,73.27692,2591,B,B,-1.2869905,55.46,6.055134,-0.5854533,1.2493206,11,5,2,top,0,1,37806,2017
Ricky,Nolasco,445060,2017-04-13,CS,71.543205,2526,F,F,-1.001604,55.36,6.192343,0.6470408,2.1078377,19,3,3,top,0,3,38161,2017
Ricky,Nolasco,445060,2017-04-13,CS,71.543205,2526,F,F,-1.001604,55.36,6.192343,0.6470408,2.1078377,19,3,3,top,0,3,38166,2017
Ricky,Nolasco,445060,2017-04-13,CS,71.23271,2470,B,B,-1.2170442,55.4,6.0807853,-1.58002,2.2573678,22,1,3,top,0,5,38244,2017
Zack,Greinke,425844,2017-04-14,CS,65.71583,2242,F,F,-0.6016015,55.08,6.370437,0.7576987,1.915741,18,2,3,bottom,0,0,41552,2017
James,Shields,448306,2017-04-16,CS,68.84393,2532,S,S,-1.7862717,54.34,6.49705,-0.22092336,2.4536805,5,5,1,bottom,0,0,48977,2017
James,Shields,448306,2017-04-16,CS,69.89173,2409,F,F,-2.13111,54.94,6.507037,-0.47283378,2.6009467,13,3,2,bottom,0,0,49333,2017
James,Shields,448306,2017-04-16,CS,69.15444,2420,S,S,-2.0034053,54.43,6.4853535,0.60035354,2.0419264,23,4,3,bottom,0,0,49920,2017
James,Shields,448306,2017-04-16,CS,69.15444,2420,S,S,-2.0034053,54.43,6.4853535,0.60035354,2.0419264,23,4,3,bottom,0,0,49921,2017
James,Shields,448306,2017-04-16,CS,68.36664,2444,B,B,-1.9645295,54.86,6.541833,-2.12091,3.6240928,30,5,4,bottom,0,0,50339,2017
