Team,Pitcher,2017,2018,2019,2020,2021,After June 3,Change 2021
Angels,Aaron Slegers,22.34,22.4,22.35,22,22.4,20.75,-7.37
Angels,Alex Claudio,25.95,26.53,26.35,26.17,24.97,25.22,1
Angels,Alex Cobb,25.25,23.88,22.36,22.59,23.47,22.5,-4.13
Angels,Andrew Heaney,26.38,27.08,28.05,27.51,27.99,26.94,-3.75
Angels,Chris Rodriguez,,,,,24.59,23.73,-3.5
Angels,Dylan Bundy,26.95,26.9,27.08,27.11,28.72,25.13,-12.5
Angels,Griffin Canning,,,25.89,25.99,25.84,25.62,-0.85
Angels,James Hoyt,24.86,24.96,24.68,31.19,27.62,27.9,1.01
Angels,Jose Quintana,23.35,23.11,23.01,24.15,23.04,22.51,-2.3
Angels,Jose Suarez,,,25.46,23.34,24.63,25.84,4.91
Angels,Junior Guerra,22.13,22.91,24.41,25.63,24.98,23.87,-4.44
Angels,Mike Mayers,23.94,24.55,25.61,24.99,26.19,24.4,-6.83
Angels,Patrick Sandoval,,,23.61,24.19,22.97,23.51,2.35
Angels,Raisel Iglesias,25.27,24.73,25.23,26.29,25.79,25.34,-1.74
Angels,Shohei Ohtani,,22.65,,25.09,24.5,23.96,-2.2
Angels,Steve Cishek,27.61,27.66,27.26,27.76,27.99,28.25,0.93
Angels,Tony Watson,25.02,26.23,26.28,26.8,26.67,27.02,1.31
Astros,Blake Taylor,,,,24.81,24.78,25.48,2.82
Astros,Brandon Bielak,,,,25.73,26.68,25.94,-2.77
Astros,Brooks Raley,,,,30.41,30.25,30.48,0.76
Astros,Cristian Javier,,,,27.72,27.54,26.72,-2.98
Astros,Enoli Paredes,,,,27.68,28.1,28.46,1.28
Astros,Framber Valdez,,28.26,27.97,27.8,26.74,27.24,1.87
Astros,Jake Odorizzi,23.87,24.41,23.61,21.99,22.48,22.16,-1.42
Astros,Jose Urquidy,,,26.93,25.97,25.49,26.03,2.12
Astros,Lance McCullers,28.09,27.34,,26.05,27.08,27.03,-0.18
Astros,Luis Garcia,21.38,22.83,21.65,23.59,26.28,26.26,-0.08
Astros,Nivaldo Rodriguez,,,,24.86,22.01,20.78,-5.59
Astros,Ralph Garza Jr.,,,,,26.07,24.62,-5.56
Astros,Ryan Pressly,29.54,30.92,32.73,31.32,30.46,29.33,-3.71
Astros,Ryne Stanek,23.31,22.96,22.28,23.32,20.48,21.15,3.27
Astros,Zack Greinke,27.6,26.62,26.49,26.36,25.84,24.77,-4.14
Athletics,Burch Smith,,23.64,25.66,26.33,26.99,26.44,-2.04
Athletics,Cam Bedrosian,27.49,28.33,28.59,28.12,25.64,25.75,0.43
Athletics,Chris Bassitt,,25.05,24.62,24.39,24.91,24.44,-1.89
Athletics,Cole Irvin,,,21.7,21.32,21.26,21.01,-1.18
Athletics,Frankie Montas,25.28,25.36,24.66,24.83,25.02,23.74,-5.12
Athletics,Jake Diekman,25.15,26.26,27.08,27.57,26.28,26.39,0.42
Athletics,James Kaprielian,,,,22.88,23.61,21.38,-9.45
Athletics,Jesus Luzardo,,,25.37,25.54,25.31,24.24,-4.23
Athletics,Lou Trivino,,24.6,24.24,23.37,22.97,22.86,-0.48
Athletics,Sean Manaea,20.35,19.63,22.05,19.55,21.01,20.97,-0.19
Athletics,Sergio Romo,32.38,31.75,31.98,34.21,31.15,32.96,5.81
Athletics,Yusmeiro Petit,24.87,24.87,25.17,24.29,24.29,24.68,1.61
Blue Jays,Alek Manoah,,,,,26.2,24.85,-5.15
Blue Jays,Anthony Castro,,,,29.03,30.32,28.15,-7.16
Blue Jays,Anthony Kay,,,25.45,26.18,25.97,26.89,3.54
Blue Jays,Carl Edwards,28.79,28.36,28.17,27.5,28.86,27.82,-3.6
Blue Jays,Hyun Jin Ryu,23.95,24.49,23.32,23.22,22.8,22.96,0.7
Blue Jays,Jeremy Beasley,,,,21.99,24.42,25.13,2.91
Blue Jays,Joel Payamps,,,27.59,26.52,26.68,26.47,-0.79
Blue Jays,Jordan Romano,,,23.91,24.61,26.22,24.75,-5.61
Blue Jays,Patrick Murphy,,,,23.98,,23.96,
Blue Jays,Rafael Dolis,,,,23.28,23.85,24.49,2.68
Blue Jays,Robbie Ray,24.36,24.32,24.67,26.33,24.26,24.15,-0.45
Blue Jays,Ross Stripling,26.57,26.59,26.84,26.76,25.66,25.12,-2.1
Blue Jays,Steven Matz,24.73,24.13,24.79,25.59,25.05,24.5,-2.2
Blue Jays,T.J. Zeuch,,,23.74,23.14,23.28,24.18,3.87
Blue Jays,Tim Mayza,23.96,23.04,23.47,,22.91,22.31,-2.62
Blue Jays,Trent Thornton,,,29.37,28.48,29.51,27.82,-5.73
Blue Jays,Tyler Chatwood,27.64,27.05,27.5,28.62,28.16,27.1,-3.76
Braves,A.J. Minter,26.44,25.94,24.43,24.73,25.95,25.49,-1.77
Braves,Bryse Wilson,,23.33,23.83,23.07,22.21,21.57,-2.88
Braves,Charlie Morton,26.79,27.19,28.68,28.75,29.25,29.2,-0.17
Braves,Chris Martin,,24.13,23.6,24.34,24.8,22.9,-7.66
Braves,Drew Smyly,,,23.28,25.39,25.06,23.88,-4.71
Braves,Edgar Santana,24.23,25.17,,,25.63,24.14,-5.81
Braves,Grant Dayton,25.75,,26.58,27.31,26.25,25.88,-1.41
Braves,Ian Anderson,,,,22.22,21.28,20.66,-2.91
Braves,Josh Tomlin,29.64,29.47,28.22,30.42,30.76,29.67,-3.54
Braves,Kyle Wright,,28.05,26.74,25.83,26.12,26.99,3.33
Braves,Luke Jackson,24.04,25.1,27.34,26.94,27.08,25.37,-6.31
Braves,Max Fried,25.36,26.44,27.22,26.95,27.35,26.62,-2.67
Braves,Sean Newcomb,26.22,24.73,26.8,26.15,27.87,27.67,-0.72
Braves,Shane Greene,27.37,26.97,26.75,25.47,,26.05,
Braves,Tucker Davidson,,,,22.94,26.12,23.86,-8.65
Braves,Tyler Matzek,,,,28.58,29.52,27.1,-8.2
Braves,Will Smith,,25.77,25.86,26.54,26.27,25.4,-3.31
Brewers,Adrian Houser,,22.77,23.16,22.71,22.86,23.37,2.23
Brewers,Brad Boxberger,23.26,21.96,22.37,24.39,23.93,23.66,-1.13
Brewers,Brandon Woodruff,22.57,22.73,23.37,25.02,25.82,25.1,-2.79
Brewers,Brent Suter,25.38,25.2,23.68,24.81,25.19,25.65,1.83
Brewers,Brett Anderson,23.29,23.19,22.55,23.63,22.19,21.71,-2.16
Brewers,Corbin Burnes,,28.44,29.33,29.71,30.03,29.41,-2.06
Brewers,Devin Williams,,,26.87,29.6,29.87,29.89,0.07
Brewers,Eric Lauer,,25.05,25.55,25.12,25.29,25.01,-1.11
Brewers,Eric Yardley,,,28.12,28.49,26.93,24.57,-8.76
Brewers,Freddy Peralta,,26.85,27.11,27.28,26.23,25.2,-3.93
Brewers,Hoby Milner,22.88,22.93,23.36,22.93,23.57,22.64,-3.95
Brewers,Hunter Strickland,27.19,25.85,26.77,27.87,27.68,28.56,3.18
Brewers,Josh Hader,22.76,23.2,23.54,24.75,23.45,23.06,-1.66
Brewers,Trevor Richards,,24.43,25.77,25.53,25.31,24.87,-1.74
Cardinals,Adam Wainwright,28.16,29.38,29.36,29.98,29.71,30.77,3.57
Cardinals,Alex Reyes,,24.7,24.7,28.1,28,25.81,-7.82
Cardinals,Andrew Miller,27.23,26.49,27.73,28.87,29.71,27.51,-7.4
Cardinals,Carlos Martinez,22.52,23.59,22.46,23.52,23.11,22.83,-1.21
Cardinals,Daniel Ponce de Leon,,24.67,26.36,27.26,25.17,24.77,-1.59
Cardinals,Genesis Cabrera,,,24.42,25.27,24.3,24.47,0.7
Cardinals,Giovanny Gallegos,25.12,25.14,26.01,26.75,26.55,26.49,-0.23
Cardinals,Jake Woodford,,,,27.01,25.49,25.5,0.04
Cardinals,Johan Oviedo,,,,26.34,26.43,26.01,-1.59
Cardinals,John Gant,24.82,25.2,25.74,25.87,25.94,26,0.23
Cardinals,Junior Fernandez,,,22.83,22.14,22.06,22.28,1
Cardinals,Kwang Hyun Kim,,,,24.93,25.03,24.99,-0.16
